Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
Fisher and Paykel Healthcare;Fisher and Paykel Healthcare;FPH.NZ;FPH;FPH;574984131;0,9;;;;;;35,240002;;
Auckland International Airport;Auckland International Airport;AIA.NZ;AIA;AIA;1472551137;0,8;;;;;;7,27;;
Meridian Energy Ltd.;Meridian Energy Ltd.;MEL.NZ;MEL;MEL;2562590332;0,5;;;;;;5,45;;
The A2 Milk Co.;The A2 Milk Co.;ATM.NZ;ATM;ATM;742261421;0,95;;;;;;15,7;;
Spark New Zealand;Spark New Zealand;SPK.NZ;SPK;SPK;1837044943;0,95;;;;;;4,695;;
Ryman Healthcare;Ryman Healthcare;RYM.NZ;RYM;RYM;500000000;1;;;;;;14,5;;
Fletcher Building;Fletcher Building;FBU.NZ;FBU;FBU;824256416;0,8;;;;;;4,33;;
Mercury NZ Ltd.;Mercury NZ Ltd.;MCY.NZ;MCY;MCY;1362300933;0,45;;;;;;5,3;;
Contact Energy;Contact Energy;CEN.NZ;CEN;CEN;718131884;0,9;;;;;;7,56;;
Air New Zealand;Air New Zealand;AIR.NZ;AIR;AIR;1122810044;0,5;;;;;;1,505;;
Z Energy Ltd.;Z Energy Ltd.;ZEL.NZ;ZEL;ZEL;520136969;0,85;;;;;;2,88;;
Sky City Entertainment Group;Sky City Entertainment Group;SKC.NZ;SKC;SKC;760205209;0,8;;;;;;3,07;;
Genesis Energy;Genesis Energy;GNE.NZ;GNE;GNE;1037385994;0,5;;;;;;3,12;;
Synlait Milk Ltd.;Synlait Milk Ltd.;SML.NZ;SML;SML;179306908;0,35;;;;;;5,47;;
Infratil;Infratil;IFT.NZ;IFT;IFT;722952533;1;;;;;;5,32;;
Kiwi Property Group;Kiwi Property Group;KPG.NZ;KPG;KPG;1569369100;0,9;;;;;;1,205;;
Goodman Property Trust Units;Goodman Property Trust Units;GMT.NZ;GMT;GMT;1391227995;0,75;;;;;;2,45;;
Chorus Ltd.;Chorus Ltd.;CNU.NZ;CNU;CNU;444491560;0,75;;;;;;8,625;;
Summerset Group Holdings Ltd.;Summerset Group Holdings Ltd. Ordinary Shares;SUM.NZ;SUM;SUM;228120219;0,9;;;;;;10,18;;
Precinct Properties New Zealand Ltd.;Precinct Properties New Zealand Ltd.;PCT.NZ;PCT;PCT;1313764049;0,8;;;;;;1,78;;
Metlifecare Ltd.;Metlifecare Ltd.;MET.NZ;MET;MET;213304722;0,65;;;;;;5,97;;
Pushpay Holdings Ltd.;Pushpay Holdings Ltd.;PPH.NZ;PPH;PPH;275617245;0,8;;;;;;9,23;;
Sky Network Television;Sky Network Television;SKT.NZ;SKT;SKT;1746279558;0,9;;;;;;0,149;;
