Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
HSBC Holdings;HSBC Holdings;HSBA.L;HSBA;HSBA;20692304480;0,95;;;;;;;;
Royal Dutch Shell Plc.;Royal Dutch Shell Plc. A;RDSA.L;RDSA;RDSA;4101239499;0,95;;;;;;;;
Bp Plc.;Bp Plc. ord;BP.L;BP;BP.;21417345494;0,95;;;;;;;;
Royal Dutch Shell Plc.;Royal Dutch Shell Plc. B;RDSB.L;RDSB;RDSB;3706183836;0,95;;;;;;;;
British American Tobacco Plc.;British American Tobacco Plc.;BATS.L;BATS;BATS;2456877747;0,95;;;;;;;;
Glaxosmithkline Plc.;Glaxosmithkline Plc.;GSK.L;GSK;GSK;5447234922;0,95;;;;;;;;
Diageo Plc.;Diageo Plc.;DGE.L;DGE;DGE;2564509508;0,95;;;;;;;;
Astrazeneca Plc.;Astrazeneca Plc.;AZN.L;AZN;AZN;1312287762;0,95;;;;;;;;
Unilever Plc.;Unilever Plc.;ULVR.L;ULVR;ULVR;1168530650;1;;;;;;;;
Rio Tinto Plc.;Rio Tinto Plc.;RIO.L;RIO;RIO;1256121002;0,65;;;;;;;;
Vodafone Group Plc.;Vodafone Group Plc.;VOD.L;VOD;VOD;28875486177;0,95;;;;;;;;
Reckitt Benckiser Group Plc.;Reckitt Benckiser Group Plc.;RB.L;RB;RB.;736800406;0,9;;;;;;;;
GLENCORE;GLENCORE;GLEN.L;GLEN;GLEN;14689200541;0,9;;;;;;;;
Prudential Plc.;Prudential Plc.;PRU.L;PRU;PRU;2608940051;0,95;;;;;;;;
Lloyds Banking Group Plc.;Lloyds Banking Group Plc.;LLOY.L;LLOY;LLOY;70787965706;0,95;;;;;;;;
BHP Group Plc.;BHP Group Plc.;BHP.L;BHP;BHP;2946000000;1;;;;;;;;
Hikma Pharmaceuticals Plc.;Hikma Pharmaceuticals Plc.;HIK.L;HIK;HIK;243369297;0,7;;;;;;;;
Barclays Plc.;Barclays Plc.;BARC.L;BARC;BARC;17350846612;0,85;;;;;;;;
Spectris Plc.;Spectris Plc.;SXS.L;SXS;SXS;121232183;0,9;;;;;;;;
Imperial Brands;Imperial Brands;IMB.L;IMB;IMB;1025795746;0,85;;;;;;;;
NatWest Group Plc.;NatWest Group Plc.;NWG.L;NWG;NWG;12125000000;0,4;;;;;;;;
Oxford Biomedica Plc.;Oxford Biomedica Plc.;OXB.L;OXB;OXB;82130020;0,55;;;;;;;;
